ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,title,share
9,"$80-90k",2015,"2015","true","true",4852634,53160.42134707343,47855,"United States","01000US","united-states","USA",0.03383839464684615
19,"$180-190k",2015,"2015","true","true",389361,15298.91410260341,4044,"United States","01000US","united-states","USA",0.002715092705959416
6,"$50-60k",2015,"2015","true","true",11448206,79685.14343169265,112548,"United States","01000US","united-states","USA",0.07983064715500736
17,"$160-170k",2015,"2015","true","true",491260,17178.502879313848,5092,"United States","01000US","united-states","USA",0.003425654964748967
8,"$70-80k",2015,"2015","true","true",6316268,60328.68324213891,62783,"United States","01000US","united-states","USA",0.044044609438759576
18,"$170-180k",2015,"2015","true","true",412068,15737.449419047927,4236,"United States","01000US","united-states","USA",0.002873433192228509
16,"$150-160k",2014,"2014","true","true",997029,24427.883821909425,10147,"United States","01000US","united-states","USA",0.0070797136953326375
13,"$120-130k",2014,"2014","true","true",1775893,32510.7850877314,17990,"United States","01000US","united-states","USA",0.012610279132849058
8,"$70-80k",2014,"2014","true","true",6082701,59229.13199870175,60286,"United States","01000US","united-states","USA",0.043192105319216925
7,"$60-70k",2014,"2014","true","true",8509041,69419.53461672257,83840,"United States","01000US","united-states","USA",0.06042108514581514
17,"$160-170k",2014,"2014","true","true",458890,16604.290689681544,4732,"United States","01000US","united-states","USA",0.0032584907937995727
6,"$50-60k",2014,"2014","true","true",11150671,78670.68195093497,109822,"United States","01000US","united-states","USA",0.07917879840089755
19,"$180-190k",2014,"2014","true","true",340317,14305.110063391077,3574,"United States","01000US","united-states","USA",0.0024165264256651685
9,"$80-90k",2014,"2014","true","true",4560929,51576.56571786216,45526,"United States","01000US","united-states","USA",0.03238629117582316
10,"$90-100k",2014,"2014","true","true",3142806,43036.07891972179,31683,"United States","01000US","united-states","USA",0.02231646890910253
5,"$40-50k",2014,"2014","true","true",14459569,88435.65564274589,139529,"United States","01000US","united-states","USA",0.10267465507814441
18,"$170-180k",2014,"2014","true","true",374783,15010.184968759739,3909,"United States","01000US","united-states","USA",0.0026612629501026066
20,"$190-200k",2014,"2014","true","true",179799,10403.775726741125,1857,"United States","01000US","united-states","USA",0.0012767185735892464
11,"$100-110k",2014,"2014","true","true",3135463,42986.91998842155,31372,"United States","01000US","united-states","USA",0.022264327659785983
4,"$30-40k",2014,"2014","true","true",18444902,98294.53729312767,173148,"United States","01000US","united-states","USA",0.13097374830468156
15,"$140-150k",2014,"2014","true","true",711579,20657.90804227672,7320,"United States","01000US","united-states","USA",0.005052787423044969
3,"$20-30k",2014,"2014","true","true",20932980,103644.58657617042,189492,"United States","01000US","united-states","USA",0.14864111795155827
21,"$200k+",2014,"2014","true","true",2762472,40403.7667366599,29211,"United States","01000US","united-states","USA",0.019615789361566154
12,"$110-120k",2014,"2014","true","true",1460431,29515.602496674273,14771,"United States","01000US","united-states","USA",0.010370243344765637
14,"$130-140k",2014,"2014","true","true",956819,23933.668955038676,9807,"United States","01000US","united-states","USA",0.00679419011709236
2,"$10-20k",2014,"2014","true","true",21216573,104220.81863864564,188960,"United States","01000US","united-states","USA",0.1506548580193
1,"< $10K",2014,"2014","true","true",19175353,99922.42405994964,183307,"United States","01000US","united-states","USA",0.13616054221786705
4,"$30-40k",2018,"2018","true","true",12259,2718.219196297515,81,,,,"Barbers",0.15508494946044757
11,"$100-110k",2018,"2018","true","true",362,467.12006010988944,5,,,,"Barbers",0.0045795539362657655
8,"$70-80k",2018,"2018","true","true",1294,883.161274136583,9,,,,"Barbers",0.016370007716927905
7,"$60-70k",2018,"2018","true","true",3210,1390.9855310609482,18,,,,"Barbers",0.04060875175528483
1,"< $10K",2018,"2018","true","true",13137,2813.8683671835984,99,,,,"Barbers",0.16619226536111428
6,"$50-60k",2018,"2018","true","true",4618,1668.380155631387,27,,,,"Barbers",0.05842093944109201
5,"$40-50k",2018,"2018","true","true",7561,2134.78132827196,49,,,,"Barbers",0.0956519539008438
3,"$20-30k",2018,"2018","true","true",20224,3491.233620228915,144,,,,"Barbers",0.2558477867597758
2,"$10-20k",2018,"2018","true","true",16382,3142.2043429011014,136,,,,"Barbers",0.207243791668248
5,"$40-50k",2017,"2017","true","true",6439,1970.0375563837483,37,,,,"Barbers",0.0973585133888746
2,"$10-20k",2017,"2017","true","true",16918,3193.1873327822505,131,,,,"Barbers",0.25580234966811316
1,"< $10K",2017,"2017","true","true",11498,2632.503806796531,92,,,,"Barbers",0.17385124816668432
7,"$60-70k",2017,"2017","true","true",1154,834.0190424789282,7,,,,"Barbers",0.017448629360267323
3,"$20-30k",2017,"2017","true","true",16594,3162.4663030630486,119,,,,"Barbers",0.2509034277333414
6,"$50-60k",2017,"2017","true","true",2797,1298.4250337923631,25,,,,"Barbers",0.04229100201097721
4,"$30-40k",2017,"2017","true","true",10737,2543.9024351611374,75,,,,"Barbers",0.162344829671742
6,"$50-60k",2016,"2016","true","true",1639,993.943705018121,14,,,,"Barbers",0.025244512899499423
1,"< $10K",2016,"2016","true","true",13907,2895.1476316561934,101,,,,"Barbers",0.21420100115517907
8,"$70-80k",2016,"2016","true","true",882,729.1346443038424,7,,,,"Barbers",0.013584905660377358
5,"$40-50k",2016,"2016","true","true",4034,1559.325139337253,23,,,,"Barbers",0.06213323065075087
3,"$20-30k",2016,"2016","true","true",14342,2940.0735601607234,98,,,,"Barbers",0.2209010396611475
4,"$30-40k",2016,"2016","true","true",9793,2429.5061865982907,67,,,,"Barbers",0.1508355795148248
